"REG","DRIVING_TIME","DRIVING_PERC","IDLE_TIME","IDLE_PERC","STANDING_TIME","STANDING_PERC","INACTIVE_TIME","INACTIVE_PERC","UTILISATION_TIME","UTILISATION_PERC","JOURNEYS","MILES","KM","GALLONS","LITRES","MPG","L_100KM","ODOMETER_START","ODOMETER_END","CO2_LBS","CO2_KG"
"DX66OYU","1222:41:20",30.51,"10:13:33",0.26,"1587:20:09",39.6,"1187:44:58",29.63,"2820:15:02",70.37,6311,40179.07,64662.08,4592.16,20876.43,1391.39,7815.94,593088.25,657749.97,121565.294305456,55141.09
"DX66PFJ","710:14:58",36.54,"02:31:54",0.13,"654:45:06",33.68,"576:28:02",29.65,"1367:31:58",70.35,2747,27776.07,44701.41,2904.58,13204.25,728.78,3284.45,450256.78,494957.96,76889.300344168,34876.4
"KP63HZR","1911:32:27",29.61,"07:00:02",0.11,"2468:05:28",38.23,"2069:22:03",32.05,"4386:37:57",67.95,11539,59779.95,96206.93,7183.39,32654.5,2161.55,9818.92,399489.12,495695.4,190149.428500465,86250.33
"NK17LGD","1875:24:53",27.51,"05:21:16",0.08,"1933:03:51",28.36,"3002:10:00",44.05,"3813:50:00",55.95,8470,70040.09,112719.02,7866.5,35761.53,2447.39,10908.87,345915.39,458633.75,208241.928586209,94456.95
"NK17LGE","1801:27:33",27.29,"05:49:52",0.09,"2097:54:17",31.79,"2694:48:18",40.83,"3905:11:42",59.17,9674,61048.3,98248.16,7283.19,33109.87,2172.29,13364.21,351078.9,449326.39,192800.729709503,87452.94
"NK17LGF","1994:10:48",28.17,"15:21:16",0.22,"2028:29:46",28.65,"3041:58:10",42.97,"4038:01:50",57.03,8061,76617.81,123304.89,8026.93,36490.49,2711.04,9465.45,334983.01,458287.19,212486.885348567,96382.43
"NK17LGG","1880:42:28",28.7,"22:25:46",0.34,"2119:04:35",32.34,"2529:47:11",38.61,"4022:12:49",61.39,8738,64517.82,103831.82,7082.84,32199.35,2360.46,10397.63,302245.22,406076.38,187498.876863117,85048.06
"NK17LGJ","1818:51:17",28.07,"05:08:19",0.08,"2158:04:45",33.3,"2497:55:39",38.55,"3982:04:21",61.45,9895,58251.7,93747.56,6539.36,29728.61,2279.92,9385.8,304175.13,397921.98,173111.752153485,78522.17
"NK17LGL","1890:04:29",28.43,"09:17:02",0.14,"1872:18:52",28.16,"2876:19:37",43.27,"3771:40:23",56.73,8556,68870.85,110837.4,7280.34,33095,2511.8,8746.03,355323.17,466159.93,192714.484872608,87413.82
"NK67LKD","1855:46:17",28.32,"05:40:41",0.09,"2057:53:17",31.41,"2632:39:45",40.18,"3919:20:15",59.82,9501,66005.07,106225.44,7050.09,32050.5,2446.88,9143.92,265608.96,371833.69,186632.041295159,84654.87
"NK67LKE","1805:42:48",26.97,"05:32:39",0.08,"2310:05:24",34.5,"2574:39:09",38.45,"4121:20:51",61.55,10805,60797.79,97844.96,7202.29,32742.23,2245.45,10321.44,259980.1,357824.4,190660.900948305,86482.33
"NK67LKF","1830:26:58",27.84,"01:06:19",0.02,"2015:30:35",30.65,"2728:56:08",41.5,"3847:03:52",58.5,10148,63157.7,101642.87,6691.18,30418.7,2500.93,8942.85,282853.04,384495.18,177130.183941638,80344.9
"NK67LKX","1875:16:29",29.26,"01:11:03",0.02,"2015:19:52",31.45,"2516:12:36",39.27,"3891:47:24",60.73,9493,65315.45,105115.49,7000.38,31824,2400.22,8715.41,294726.18,399840.93,185313.147858971,84056.63
"NK67LKY","1771:19:07",26.36,"10:00:16",0.15,"1956:56:15",29.12,"2981:44:22",44.37,"3738:15:38",55.63,8326,61516.87,99002.35,7043.86,32022.32,2323.05,10093.07,275202.58,374204.2,186467.642586386,84580.3
"NK67LKZ","1693:03:12",25.65,"00:50:39",0.01,"2097:41:38",31.78,"2808:24:31",42.55,"3791:35:29",57.45,10226,55329.06,89043.84,6371.73,28966.29,2236.2,9712.86,264681.67,353724.79,168672.942924151,76508.76
"NK67LLA","1869:30:44",29.17,"02:53:00",0.04,"2160:23:33",33.71,"2375:12:43",37.07,"4032:47:17",62.93,9835,63107.72,101562.54,6960.82,31644.74,2306.55,9440.9,245380.45,346942.28,184269.413371984,83583.2
"NK67LLC","1839:43:43",27.48,"03:50:36",0.06,"2088:37:27",31.19,"2763:48:14",41.28,"3932:11:46",58.72,8826,64000.45,102999.36,6522.35,29650.86,2607.4,8699.07,274868.32,377867,172659.42973054,78317
"YM17NCA","731:49:40",26.75,"16:34:16",0.61,"1020:56:52",37.32,"966:39:12",35.33,"1769:20:48",64.67,2908,24766.07,39857.23,2769.02,12588.55,878.36,6208.05,437474.45,477331.4,73303.922577262,33250.1
